;interest_name;interest_coordinates;interest_vicinity;interest_types
0;Mercado Dangui;{'lat': -26.000279, 'lng': -52.21963599999999};Cov�, Mangueirinha;['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']
1;Mercearia nossa senhora da Aparecida;{'lat': -26.0011845, 'lng': -52.2228516};n�86 - Cov�, Mangueirinha;['point_of_interest', 'establishment']
2;Mercado Goncalves;{'lat': -25.939607, 'lng': -52.1803128};R. Pedro �lvares Cabral, 313 - Mangueirinha;['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']
3;�talo Supermercados - Mangueirinha;{'lat': -25.9406595, 'lng': -52.1776272};R. Jos� Bonif�cio, 78 - Centro, Mangueirinha;['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']
4;Mercado Camargo;{'lat': -25.9377167, 'lng': -52.1811354};R. Pres. Juscelino Kubitscheck, 507-529 - Mangueirinha;['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']
5;Zezinho Supermercados;{'lat': -25.9415592, 'lng': -52.1724595};R. Rui Barbosa, 251 - Centro, Mangueirinha;['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']
6;Supermarket Good Price;{'lat': -25.943416, 'lng': -52.168732};R. Mal. Deodoro, 799 - mercedes, Mangueirinha;['supermarket', 'grocery_or_supermarket', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']
7;Supermercado Catarinense;{'lat': -25.9406703, 'lng': -52.1710679};R. Jos� B�rigo, 469 - Mangueirinha;['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']
8;Supermercado Max Cezi;{'lat': -25.9396788, 'lng': -52.1722658};R. Saldanha Marinho, 341 - Mangueirinha;['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']
9;Super Mercosul;{'lat': -25.9433231, 'lng': -52.16720189999999};R. Mal. Deodoro, 953 - Mangueirinha;['point_of_interest', 'establishment']
10;MERCADO PARANA;{'lat': -25.945155, 'lng': -52.1635524};R. Joao Antonio Brandalize, 380 - Mangueirinha;['point_of_interest', 'establishment']
11;MERCADO OLIVEIRA;{'lat': -25.9438691, 'lng': -52.164536};R. Joao Antonio Brandalize, 570 - Mangueirinha;['point_of_interest', 'establishment']
12;MERCADO FLORES;{'lat': -25.9355149, 'lng': -52.1749662};R. Santos Dumont, 739 - Mangueirinha;['point_of_interest', 'establishment']
13;Mercearia Da JU;{'lat': -25.9340118, 'lng': -52.1730483};R. Val�ncio Dias, 230 - Mangueirinha;['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']
14;Mercearia Do N�co;{'lat': -25.9340089, 'lng': -52.16985529999999};R. Jos� B�rigo, 1218 - Mangueirinha;['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']
15;A�ougue do idecasio;{'lat': -25.9328714, 'lng': -52.1703862};R. Tancredo Neves - Mangueirinha;['point_of_interest', 'establishment']
16;Dois irm�os;{'lat': -25.9333109, 'lng': -52.1677656};R. Londrina, 52 - Mangueirinha;['point_of_interest', 'establishment']
17;Mercado morro verde;{'lat': -25.8439029, 'lng': -52.2050208};PR-459 - Mangueirinha;['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']
18;Supermercado Floriano;{'lat': -26.1436502, 'lng': -52.3815168};Av. XVI de Novembro, 862 - Lot. Jardim Chica, Hon�rio Serpa;['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']
19;mercado;{'lat': -26.1433582, 'lng': -52.382318};Av. das Flores, 825 - Lot. Honorio Serpa, Hon�rio Serpa;['point_of_interest', 'establishment']
